Industry,Sector,Sub_Sector,Indicator,Governorate,District,Date,Year,Quarter,Value,Unit,Confidence_Score,Source_Verified,YoY_Change,Source_ID
Agriculture,Crops,Wheat,Yield per Feddan,Cairo,Maadi,2023-Q1,2023,Q1,410.82,Units,High,False,24.2,
Agriculture,Crops,Wheat,Market Price (Ton),Cairo,Maadi,2023-Q1,2023,Q1,2073.78,EGP,High,False,16.0,SRC-997
Agriculture,Crops,Wheat,Export Volume,Cairo,Maadi,2023-Q1,2023,Q1,6650.14,Units,Low,True,6.2,SRC-539
Agriculture,Crops,Cotton,Long Staple Price,Cairo,Maadi,2023-Q1,2023,Q1,9144.58,EGP,Low,True,1.4,SRC-863
Agriculture,Crops,Cotton,Short Staple Price,Cairo,Maadi,2023-Q1,2023,Q1,5067.64,EGP,Low,False,-11.7,SRC-683
Agriculture,Crops,Cotton,Export Volume,Cairo,Maadi,2023-Q1,2023,Q1,31231.07,Units,Medium,False,20.6,SRC-218
Agriculture,Crops,Rice,Yield per Feddan,Cairo,Maadi,2023-Q1,2023,Q1,5615.5,Units,Low,False,13.4,
Agriculture,Crops,Rice,Market Price (Ton),Cairo,Maadi,2023-Q1,2023,Q1,8522.19,EGP,High,True,-10.9,SRC-662
Agriculture,Livestock,Cattle,Head Count,Cairo,Maadi,2023-Q1,2023,Q1,1899.85,Units,High,False,-8.9,SRC-182
Agriculture,Livestock,Cattle,Milk Production,Cairo,Maadi,2023-Q1,2023,Q1,149.43,Units,Low,True,-14.9,SRC-456
Agriculture,Livestock,Cattle,Meat Price,Cairo,Maadi,2023-Q1,2023,Q1,8874.26,EGP,Medium,True,6.9,SRC-733
Agriculture,Livestock,Poultry,Meat Price,Cairo,Maadi,2023-Q1,2023,Q1,1648.97,EGP,Medium,False,23.4,
Manufacturing,Textiles,Raw Materials,Cotton Yarn Price,Cairo,Maadi,2023-Q1,2023,Q1,4990.45,EGP,Low,False,2.5,
Manufacturing,Textiles,Raw Materials,Synthetic Fiber Price,Cairo,Maadi,2023-Q1,2023,Q1,5950.7,EGP,High,False,5.2,SRC-222
Manufacturing,Textiles,Apparel,Export Volume,Cairo,Maadi,2023-Q1,2023,Q1,41560.5,Units,Low,True,15.8,SRC-605
Manufacturing,Textiles,Apparel,Local Sales Volume,Cairo,Maadi,2023-Q1,2023,Q1,3882.27,Units,Medium,True,20.8,SRC-841
